,file_ID,RMSD_pred-ex_w,Tm_pred-ex_w,RMSD_pred-ex_wo,Tm_pred-ex_wo,RMSD_w_wo,Tm_w_wo,pLDDT_w,pLDDT_wo
0,metric_5t51b_2.pdb_partialdiff_3_seq_27.pdb_relaxed_capsid_2_design_full.pdb,35.257972717285156,0.2029,21.319311141967773,0.64336,13.708869934082031,0.19545,78.55898025641025,78.24013222036727
0,afm_d3ldza__6.pdb_partialdiff_5_seq_29.pdb_relaxed_capsid_3_design_full.pdb,46.05123519897461,0.18315,22.03127670288086,0.22347,27.887699127197266,0.12095,70.26395005181347,55.29968257756563
0,afm_5mfof00_2.pdb_partialdiff_5_seq_37.pdb_relaxed_capsid_4_design_full.pdb,29.22771453857422,0.30346,33.34901809692383,0.20135,31.537572860717773,0.20799,85.11928944020356,83.71497397555716
0,afm_4lupa00_7.pdb_partialdiff_0_seq_9.pdb_relaxed_capsid_2_design_full.pdb,1.6756820678710938,0.93456,27.797256469726562,0.20413,22.935312271118164,0.26667,82.18836341463414,82.82825591586328
0,metric_d6hcia__3.pdb_partialdiff_0_seq_12.pdb_relaxed_capsid_0_design_full.pdb,27.992755889892578,0.2342,37.15209197998047,0.23317,11.35273551940918,0.3348,77.91988474114441,79.10867866323908
0,afm_1z08c00_6.pdb_partialdiff_1_seq_30.pdb_relaxed_capsid_1_design_full.pdb,25.877567291259766,0.47525,24.974761962890625,0.22136,30.7329044342041,0.24686,84.72097943640517,77.03744548440066
0,afm_5uh7a_9.pdb_partialdiff_2_seq_28.pdb_relaxed_capsid_4_capsid_0_design_full.pdb,39.73828125,0.11122,41.536930084228516,0.22731,34.90279769897461,0.20872,58.761539834024894,78.79170815370196
0,metric_4b0fb00_6.pdb_conditioning_2_seq_38.pdb_relaxed_capsid_3_design_full.pdb,49.247337341308594,0.19505,29.920135498046875,0.24408,0.1549263447523117,0.21132,73.85821806167401,69.55008542914172
0,afm_3w6va00_1.pdb_partialdiff_9_seq_2.pdb_relaxed_capsid_0_design_full.pdb,27.62896156311035,0.33347,21.127897262573242,0.34264,29.42514419555664,0.2332,83.18973890274314,85.86387435008666
0,afm_d6am3a__1.pdb_partialdiff_5_seq_10.pdb_relaxed_capsid_2_design_full.pdb,29.133121490478516,0.26039,18.182809829711914,0.20119,4.936099052429199,0.11712,59.1660765917603,54.389825
0,afm_4acfa01_0.pdb_partialdiff_2_seq_8.pdb_relaxed_capsid_3_design_full.pdb,24.527555465698242,0.21694,28.693756103515625,0.19883,24.04648208618164,0.20651,45.43317441540578,51.92310877862595
0,afm_6ne2b00_4.pdb_partialdiff_3_seq_33.pdb_relaxed_capsid_0_design_full.pdb,27.460479736328125,0.29589,36.90858459472656,0.21744,26.182931900024414,0.24224,85.53007056478405,83.5892076707203
0,afm_d5cdka1_3.pdb_partialdiff_8_seq_41.pdb_relaxed_capsid_0_design_full.pdb,30.221866607666016,0.21918,24.557680130004883,0.19165,24.243196487426758,0.14782,73.54621546316557,64.95237463284379
0,afm_d5tzma__5.pdb_partialdiff_5_seq_21.pdb_relaxed_capsid_4_design_full.pdb,29.44733428955078,0.26648,23.75042724609375,0.45005,28.138519287109375,0.18259,74.0016092879257,49.01095512572534
0,metric_3mm5a01_5.pdb_partialdiff_0_seq_9.pdb_relaxed_capsid_4_design_full.pdb,7.425293445587158,0.69362,23.536096572875977,0.23648,23.24854278564453,0.27822,66.48447125506073,50.50911519756839
0,metric_2vkja00_0.pdb_partialdiff_2_seq_39.pdb_relaxed_capsid_1_design_full.pdb,26.880027770996094,0.92551,17.9722900390625,0.28129,24.399593353271484,0.19552,81.08177252475248,75.25148609523809
0,afm_d4lfhg2_6.pdb_partialdiff_6_seq_8.pdb_relaxed_capsid_4_design_full.pdb,25.084951400756836,0.18127,31.622310638427734,0.25226,27.68978500366211,0.28181,36.39046706408346,76.965272215973
0,afm_6hk5a_6.pdb_partialdiff_8_seq_35.pdb_relaxed_capsid_1_design_full.pdb,29.636198043823242,0.23293,13.126709938049316,0.32342,22.344709396362305,0.26785,72.93573128834356,79.97004008438819
0,afm_2aq6a00_5.pdb_partialdiff_8_seq_37.pdb_relaxed_capsid_4_design_full.pdb,28.322690963745117,0.20903,22.887359619140625,0.2653,29.958646774291992,0.2577,61.3395631831256,81.8533515625
